Species	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
Fungi;Ascomycota;Orbiliomycetes;Orbiliales;?;?;?	0	0	0	225	0	0	0	0	0	0
Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;?;?	0	0	0	23	0	0	0	602	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;?;?;?	5	0	2	0	0	11	4	0	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;Ascobolaceae;Ascobolus;unidentified	0	0	1	0	3	47	0	0	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;Discinaceae;Hydnotrya;unidentified	3	0	0	0	0	0	0	3	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;?;?	0	0	477	0	0	0	0	0	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Anthracobia;Anthracobia_melaloma	0	0	0	0	0	18	0	0	5	5
Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber;?	33	0	5	99	0	1	0	0	0	166
Fungi;Ascomycota;Saccharomycetes;?;?;?;?	10346	0	2602	2010	2250	4316	1468	1403	344	4643
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;?;?;?	461	0	0	0	0	47	689	67	0	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania;Kazachstania_martiniae	5	0	0	13	0	0	24	0	0	16
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_fam_Incertae_sedis;Candida;Candida_santamariae	0	0	26	0	0	0	2	0	0	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_fam_Incertae_sedis;Kuraishia;Kuraishia_floccosa	0	0	0	0	0	12	0	0	0	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_fam_Incertae_sedis;Nadsonia;Nadsonia_fulvescens	0	0	0	0	0	1	0	108	0	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;?;?	15	0	1	2	3	19	8	2	4	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Spencermartinsiella;unidentified	0	0	8	0	0	0	1	8	0	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;unidentified;?;?	0	0	272	0	0	228	0	0	0	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;unidentified;unidentified;unidentified	1303	0	553	551	651	748	209	1287	1318	3407
Fungi;Ascomycota;Sordariomycetes;?;?;?;?	276	0	103	400	698	214	243	161	697	113
Fungi;Ascomycota;Sordariomycetes;Boliniales;Boliniaceae;Endoxyla;unidentified	27	0	31	26	20	82	35	23	4	38
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;?;?	16	0	35	43	5	21	38	132	20	3
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Chaetosphaeria;?	2	0	6	0	0	223	0	0	0	13
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Chaetosphaeria;unidentified	5	0	5	15	13	62	55	0	0	167
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Chloridium;?	0	0	0	0	0	16	5	0	1	5
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Chloridium;unidentified	138	0	2	26	4	222	221	127	17	43
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;unidentified;unidentified	792	0	808	3055	2143	1167	549	401	407	2835
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;unidentified;unidentified;unidentified	12	0	50	42	20	216	16	0	209	9
Fungi;Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;?;?	17	0	56	0	0	15	0	0	0	0
Fungi;Ascomycota;Sordariomycetes;Coniochaetales;unidentified;unidentified;unidentified	4	0	0	13	6	0	6	0	184	0
Fungi;Ascomycota;Sordariomycetes;Diaporthales;?;?;?	15	0	0	0	1	22	2	24	2	0
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Schizoparmaceae;unidentified;unidentified	3	0	0	0	0	0	0	0	4	0
Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Verticillium;Verticillium_leptobactrum	45	0	4	12	24	9	5	3	59	5
Fungi;Ascomycota;Sordariomycetes;Hypocreales;?;?;?	299	0	19	35	31	218	146	38	199	19
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;?;?	357	1	183	116	0	257	46	404	16	91
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Clonostachys;Clonostachys_candelabrum	0	0	155	35	0	59	0	28	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;?;?	0	0	3	1	0	1	11	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Metarhizium;?	150	0	5	25	41	111	1766	82	35	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Pochonia;Pochonia_bulbillosa	12	0	7	2	5	14	7	5	19	16
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Pochonia;Pochonia_cordycepisociata	31	0	141	0	0	56	104	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Pochonia;unidentified	5	0	10	5	0	7	5	0	17	8
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;unidentified;unidentified	6	0	65	136	80	65	51	0	86	788
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria;?	62	0	151	0	0	97	2	61	0	18
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria;unidentified	0	0	10	0	0	2	0	16	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps;Cordyceps_polyarthra	3	0	0	0	0	0	6	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Lecanicillium;?	9	0	4	5	0	3	1	0	3	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Simplicillium;unidentified	68	0	14	0	6	6	18	0	3	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;unidentified;unidentified	40	0	6	41	1917	8	6	0	270	2
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;?;?	0	0	0	0	0	1	0	0	21	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Hypomyces;?	0	0	0	20	74	0	0	0	5	121
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Hypomyces;Hypomyces_ochraceus	6	0	8	29	4	7	7	0	3	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;?	7	0	7	32	19	35	5	12	7	217
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_harzianum	46	0	0	0	0	108	27	17	29	3
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_oblongisporum	0	0	776	40	90	143	16	64	3	119
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_sinuosum	10	0	0	0	0	2	18	17	0	10
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_virens	0	0	31	367	154	397	25	59	7	1726
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_viride	241	0	96	67	39	143	79	95	79	63
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;unidentified	22	0	48	3	5	26	22	37	0	23
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;unidentified;unidentified	0	0	15	51	43	2	3	0	42	187
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Gliocladium;unidentified	1	0	0	29	0	2	0	21	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;?;?	16	0	27	37	0	190	118	5	0	81
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Calonectria;Calonectria_gracilipes	11	0	0	18	2	0	2	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Cylindrocladiella;?	8	0	0	10	0	0	0	13	427	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;?	17	0	3	0	0	10	1	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium_solani	0	0	0	0	0	0	0	0	0	12
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;unidentified	0	0	0	13	0	0	0	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusicolla;Fusicolla_violacea	0	0	0	0	2	35	4	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusicolla;unidentified	5	0	4	0	0	3	3	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Gliocephalotrichum;Gliocephalotrichum_humicola	9	0	6	0	2	17	104	32	3	33
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Gliocladiopsis;unidentified	2	0	0	0	5	0	1	0	0	7
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Mariannaea;Mariannaea_samuelsii	27	0	28	5	1	33	39	0	234	10
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Penicillifer;Penicillifer_martinii	0	0	0	25	118	0	0	0	6	26
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Thelonectria;Thelonectria_discophora	7	0	0	0	0	0	0	0	0	1
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Volutella;Volutella_consors	0	0	0	33	0	0	0	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Volutella;unidentified	27	0	15	0	0	4	4	22	9	9
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;unidentified;?	6	0	0	0	0	17	0	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;unidentified;unidentified	3	0	2	18	0	1	4	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;?;?	624	0	176	28	7	1306	253	0	53	3
