Family	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
Fungi;Basidiomycota;Agaricomycetes;unidentified;unidentified	0	0	0	0	0	2	471	9	0	0
Fungi;Basidiomycota;Cystobasidiomycetes;Erythrobasidiales;Erythrobasidiaceae	0	0	0	14	0	0	0	0	0	0
Fungi;Basidiomycota;GS26;GS26;unidentified	0	0	0	0	0	0	0	0	38	0
Fungi;Basidiomycota;Geminibasidiomycetes;Geminibasidiales;Geminibasidiaceae	0	0	0	228	1183	192	0	0	2742	3908
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae	0	0	0	0	3	0	0	0	11	0
Fungi;Basidiomycota;Microbotryomycetes;?;?	9	0	42	6	33	111	16	6	0	0
Fungi;Basidiomycota;Microbotryomycetes;Leucosporidiales;unidentified	228	0	498	83	1794	1580	244	101	287	2600
Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;?	2	0	0	4	0	0	2	0	0	0
Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;unidentified	45	0	8	430	3546	10	1	160	535	789
Fungi;Basidiomycota;Microbotryomycetes;unidentified;unidentified	6	0	2	5	13	0	0	0	0	14
Fungi;Basidiomycota;Tremellomycetes;?;?	86	0	452	275	207	16	62	0	320	61
Fungi;Basidiomycota;Tremellomycetes;Tremellales;?	0	0	0	12	0	0	0	0	0	0
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae	937	0	0	192	0	0	17	0	0	0
Fungi;Basidiomycota;Tremellomycetes;Tremellales;unidentified	0	0	0	0	0	28	0	0	32	0
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;?	0	0	0	0	0	0	0	9	0	0
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae	55	0	78	0	25	247	226	38	5757	72
Fungi;Basidiomycota;unidentified;unidentified;?	0	0	0	0	39	0	0	0	0	0
Fungi;Calcarisporiellomycota;?;?;?	1	0	0	1	0	0	4	0	0	0
Fungi;Calcarisporiellomycota;Calcarisporiellomycetes;Calcarisporiellales;?	61	0	12	0	14	18	6	1	12	4
Fungi;Calcarisporiellomycota;Calcarisporiellomycetes;Calcarisporiellales;Calcarisporiellaceae	3	0	9	3	9	1	0	0	21	0
Fungi;Chytridiomycota;?;?;?	1095	0	32	0	1	83	99	25	57	24
Fungi;Chytridiomycota;Chytridiomycetes;?;?	0	0	0	2	0	47	490	0	0	0
Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae	122	0	100	57	50	138	1554	25	47	10
Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;unidentified	0	0	16	85	7	142	1	0	0	3
Fungi;Chytridiomycota;Chytridiomycetes;unidentified;?	0	0	0	0	0	0	0	15	0	0
Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales;Rhizophydiaceae	2	0	0	0	0	1	252	1	0	29
Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales;Terramycetaceae	18	0	0	0	0	10	6	0	0	0
Fungi;Chytridiomycota;unidentified;unidentified;?	1	0	5	0	0	9	1	0	0	0
Fungi;Chytridiomycota;unidentified;unidentified;unidentified	16	0	59	2	1	25	12	0	0	15
Fungi;Glomeromycota;?;?;?	0	0	0	0	0	0	0	71	0	0
Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae	4	0	63	0	0	215	0	0	0	25
Fungi;Kickxellomycota;?;?;?	36	0	39	49	24	26	9	26	114	231
Fungi;Kickxellomycota;Kickxellomycetes;?;?	0	0	0	0	0	0	0	0	0	14
Fungi;Kickxellomycota;Kickxellomycetes;Kickxellales;?	0	0	0	0	0	0	0	0	0	87
Fungi;Mortierellomycota;?;?;?	438	0	33	69	70	350	936	51	180	13
Fungi;Mortierellomycota;Mortierellomycetes;?;?	0	0	5	12	102	295	21	23	0	0
Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;?	17	0	8	60	36	29	28	0	9	6
Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae	3983	0	2443	5719	1625	5488	25750	9303	2961	10627
Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;unidentified	0	0	13	0	0	1	0	0	0	0
Fungi;Mucoromycota;?;?;?	470	0	2040	1398	700	1616	109	47	289	311
Fungi;Mucoromycota;Endogonomycetes;?;?	0	0	3	9	9	19	1	9	9	32
Fungi;Mucoromycota;Endogonomycetes;Endogonales;?	1	0	6	0	0	0	2	0	0	0
Fungi;Mucoromycota;Endogonomycetes;GS20;unidentified	0	0	0	45	11	0	0	0	139	1243
Fungi;Mucoromycota;Endogonomycetes;GS21;?	4	0	13	0	120	8	5	0	68	6
Fungi;Mucoromycota;Endogonomycetes;GS21;unidentified	2	0	8	0	14	0	0	0	0	0
Fungi;Mucoromycota;Endogonomycetes;GS22;?	0	0	0	0	0	0	0	0	2	3
Fungi;Mucoromycota;Endogonomycetes;GS22;unidentified	0	0	5	9	0	16	0	0	0	3
Fungi;Mucoromycota;Mucoromycetes;?;?	0	0	0	1	0	1	0	12	0	0
Fungi;Mucoromycota;Umbelopsidomycetes;?;?	0	0	0	11	2	0	0	474	0	0
Fungi;Mucoromycota;Umbelopsidomycetes;GS23;?	0	0	0	349	230	0	5	0	12	288
Fungi;Mucoromycota;Umbelopsidomycetes;GS23;unidentified	0	0	18	3161	2672	12	1	181	1104	4073
Fungi;Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae	5	0	3198	5020	3193	149	294	27	5323	6519
Fungi;Mucoromycota;unidentified;unidentified;?	0	0	0	0	0	0	0	30	0	0
Fungi;Rozellomycota;?;?;?	0	0	0	0	0	0	0	65	0	0
Fungi;Rozellomycota;Rozellomycotina_cls_Incertae_sedis;?;?	23	0	54	9	4	170	33	154	3	0
Fungi;Rozellomycota;Rozellomycotina_cls_Incertae_sedis;GS04;?	0	0	0	3	5	2	0	0	8	4
